id,WBIC,longitude,latitude,State,division
1013,108000,-89.24,44.04,WI,5
1071,108100,-89.34,44.09,WI,5
857,108200,-89.29,43.92,WI,5
1085,108300,-89.39,44.11,WI,5
572,108400,-89.45,43.54,WI,8
564,108500,-89.47,43.53,WI,8
565,108600,-89.47,43.53,WI,8
590,108700,-89.53,43.56,WI,8
589,108800,-89.54,43.56,WI,8
643,108900,-89.43,43.62,WI,8
603,109000,-89.42,43.58,WI,8
584,109200,-89.27,43.55,WI,8
591,109300,-89.27,43.56,WI,8
680,109400,-89.68,43.67,WI,5
706,109500,-89.57,43.72,WI,5
701,109600,-89.35,43.71,WI,5
765,109700,-89.65,43.8,WI,5
740,109800,-89.62,43.77,WI,5
741,109900,-89.62,43.77,WI,5
733,110000,-89.62,43.76,WI,5
724,110100,-89.62,43.75,WI,5
723,110200,-89.63,43.75,WI,5
717,110300,-89.66,43.74,WI,5
716,110400,-89.67,43.74,WI,5
769,110450,-89.52,43.8,WI,5
759,110500,-89.54,43.79,WI,5
749,110600,-89.58,43.78,WI,5
735,110700,-89.59,43.76,WI,5
730,110800,-89.29,43.75,WI,5
731,110900,-89.28,43.75,WI,5
814,111100,-89.62,43.86,WI,5
795,111200,-89.59,43.83,WI,5
788,111300,-89.62,43.82,WI,5
809,111400,-89.36,43.85,WI,5
810,111500,-89.36,43.85,WI,5
797,111600,-89.14,43.83,WI,5
798,111700,-88.92,43.83,WI,5
799,111800,-88.36,43.83,WI,6
844,111900,-89.62,43.89,WI,5
845,112000,-89.55,43.89,WI,5
893,112100,-89.27,43.95,WI,5
883,112200,-89.13,43.94,WI,5
868,112300,-89.15,43.93,WI,5
858,112400,-89.18,43.92,WI,5
869,112500,-89.02,43.93,WI,5
854,112600,-89.05,43.91,WI,5
851,112800,-89.07,43.9,WI,5
923,112900,-88.92,43.97,WI,5
922,113000,-88.93,43.97,WI,5
902,113100,-88.93,43.96,WI,5
894,113200,-88.98,43.95,WI,5
980,113500,-89.3,44.01,WI,5
946,113600,-89.26,43.99,WI,5
995,113700,-89.23,44.02,WI,5
982,113800,-89.18,44.01,WI,5
968,113900,-89.17,44,WI,5
969,114400,-88.55,44,WI,6
950,114500,-88.61,43.99,WI,6
1050,114600,-89.39,44.07,WI,5
1051,114700,-89.32,44.07,WI,5
1052,114800,-89.32,44.07,WI,5
1132,115000,-88.48,44.14,WI,6
1090,115100,-88.48,44.11,WI,6
1147,115200,-89.32,44.16,WI,5
1148,115300,-89.32,44.16,WI,5
1206,115700,-88.39,44.21,WI,6
1437,115800,-87.91,44.4,WI,6
1519,115900,-88.05,44.46,WI,6
1499,116000,-87.97,44.44,WI,6
838,116700,-89.28,43.88,WI,5
791,116800,-89.18,43.82,WI,5
1065,116900,-89.32,44.08,WI,5
853,117000,-89.59,43.91,WI,5
574,117100,-89.32,43.54,WI,8
1008,117400,-89.3,44.03,WI,5
757,117500,-89.62,43.79,WI,5
917,117600,-89.51,43.97,WI,5
1570,117800,-87.97,44.52,WI,6
1406,124400,-88.18,44.36,WI,6
1177,129800,-88.46,44.18,WI,6
970,131100,-88.41,44,WI,6
683,138000,-88.57,43.67,WI,6
720,139000,-88.39,43.74,WI,6
712,139300,-88.39,43.73,WI,6
691,139500,-88.35,43.68,WI,6
998,139600,-88.56,44.02,WI,6
1059,139900,-88.63,44.07,WI,6
1016,140500,-88.77,44.04,WI,6
859,141400,-88.79,43.92,WI,6
949,142200,-88.85,43.99,WI,6
948,142700,-88.87,43.99,WI,6
870,144800,-89.01,43.93,WI,5
787,146100,-88.98,43.81,WI,5
762,146400,-88.97,43.79,WI,5
761,146500,-88.98,43.79,WI,5
817,147200,-88.9,43.86,WI,5
805,147600,-88.83,43.84,WI,6
754,148100,-89,43.78,WI,5
983,149000,-89.16,44.01,WI,5
901,149800,-89.22,43.96,WI,5
935,150600,-89.25,43.98,WI,5
967,150900,-89.28,44,WI,5
981,151000,-89.29,44.01,WI,5
947,151300,-89.22,43.99,WI,5
1009,151500,-89.26,44.03,WI,5
1077,152000,-89.33,44.1,WI,5
1064,152200,-89.37,44.08,WI,5
1053,152500,-89.32,44.07,WI,5
1054,152700,-89.29,44.07,WI,5
790,155200,-89.29,43.82,WI,5
784,155300,-89.3,43.81,WI,5
785,155400,-89.3,43.81,WI,5
839,155570,-89.27,43.88,WI,5
837,155700,-89.34,43.88,WI,5
966,156300,-89.42,44,WI,5
965,156900,-89.47,44,WI,5
934,157100,-89.53,43.98,WI,5
920,157300,-89.35,43.97,WI,5
979,158300,-89.39,44.01,WI,5
1027,158600,-89.47,44.05,WI,5
719,158700,-89.16,43.74,WI,5
710,159600,-89.3,43.73,WI,5
707,159900,-89.22,43.72,WI,5
689,160600,-89.16,43.68,WI,5
702,160800,-89.08,43.71,WI,5
696,161100,-89.12,43.69,WI,5
645,161600,-88.96,43.62,WI,8
658,161900,-89,43.64,WI,5
690,162200,-89.04,43.68,WI,5
711,162500,-88.98,43.73,WI,5
745,163800,-89.31,43.77,WI,5
786,163970,-89.25,43.81,WI,5
760,164300,-89.33,43.79,WI,5
804,165100,-89.45,43.84,WI,5
789,165300,-89.55,43.82,WI,5
825,165700,-89.39,43.87,WI,5
867,166300,-89.54,43.93,WI,5
835,166700,-89.49,43.88,WI,5
834,167000,-89.56,43.88,WI,5
900,167600,-89.54,43.96,WI,5
916,167700,-89.54,43.97,WI,5
915,167800,-89.55,43.97,WI,5
744,168000,-89.4,43.77,WI,5
727,168300,-89.37,43.75,WI,5
728,168400,-89.36,43.75,WI,5
753,168800,-89.45,43.78,WI,5
736,169300,-89.41,43.76,WI,5
725,169500,-89.41,43.75,WI,5
743,170100,-89.5,43.77,WI,5
686,171000,-89.39,43.68,WI,5
682,171200,-89.4,43.67,WI,5
644,172300,-89.4,43.62,WI,8
636,172600,-89.38,43.61,WI,8
604,173000,-89.31,43.58,WI,8
648,173300,-89.36,43.63,WI,8
687,173500,-89.34,43.68,WI,5
694,173600,-89.34,43.69,WI,5
695,173700,-89.34,43.69,WI,5
668,175700,-89.6,43.65,WI,5
681,175900,-89.59,43.67,WI,5
656,176000,-89.61,43.64,WI,5
647,176200,-89.64,43.63,WI,8
742,177500,-89.56,43.77,WI,5
751,177600,-89.55,43.78,WI,5
752,177700,-89.55,43.78,WI,5
750,178000,-89.57,43.78,WI,5
758,178500,-89.62,43.79,WI,5
748,178700,-89.64,43.78,WI,5
803,179100,-89.64,43.84,WI,5
573,179800,-89.36,43.54,WI,8
575,180000,-89.3,43.54,WI,8
576,180300,-89.28,43.54,WI,8
4381,181300,-89.06,45.41,WI,3
4311,181400,-88.86,45.4,WI,3
2114,181500,-89.08,44.97,WI,3
3355,181600,-88.9,45.28,WI,3
1942,181700,-89.31,44.85,WI,2
1976,181800,-88.49,44.87,WI,3
1481,181900,-89.39,44.43,WI,5
2048,182000,-88.75,44.91,WI,3
1139,182100,-89.16,44.15,WI,5
3965,182200,-88.91,45.35,WI,3
1229,182300,-89.14,44.23,WI,5
1613,182400,-88.99,44.55,WI,5
1472,182500,-88.5,44.42,WI,6
2041,182600,-89.28,44.91,WI,2
1365,182700,-89.33,44.34,WI,5
2059,182800,-89.27,44.92,WI,2
4971,182900,-88.82,45.49,WI,3
1528,183000,-89.2,44.48,WI,5
2297,183100,-88.83,45.08,WI,3
1594,183200,-89.24,44.54,WI,5
1579,183300,-88.95,44.53,WI,5
4706,183400,-88.85,45.45,WI,3
4707,183500,-88.84,45.45,WI,3
1975,183600,-88.5,44.87,WI,3
2298,183700,-88.78,45.08,WI,3
4558,183800,-88.85,45.43,WI,3
1824,183900,-89.36,44.73,WI,2
2295,184000,-88.84,45.08,WI,3
1260,184100,-89.17,44.27,WI,5
4094,184200,-88.92,45.37,WI,3
2518,184300,-88.78,45.16,WI,3
4163,184400,-88.96,45.38,WI,3
4784,184500,-88.9,45.46,WI,3
4312,184600,-88.79,45.4,WI,3
1933,184700,-88.5,44.84,WI,3
2669,184800,-88.91,45.19,WI,3
2163,184900,-89.05,45.02,WI,3
4972,185000,-88.81,45.49,WI,3
1546,185100,-88.85,44.49,WI,5
1389,185200,-89.11,44.35,WI,5
4785,185300,-88.9,45.46,WI,3
2364,185400,-88.88,45.11,WI,3
1250,185500,-89.16,44.26,WI,5
1247,185600,-89.34,44.26,WI,5
1227,185700,-89.17,44.23,WI,5
3890,185800,-88.93,45.34,WI,3
4918,185900,-88.79,45.48,WI,3
1511,186000,-89.36,44.46,WI,5
1211,186100,-89.29,44.22,WI,5
1508,186200,-88.84,44.45,WI,5
1240,186300,-88.85,44.25,WI,5
1202,186400,-89.16,44.21,WI,5
1980,186500,-89.28,44.88,WI,2
1731,186600,-89.25,44.67,WI,5
1276,186700,-89.1,44.28,WI,5
4228,186800,-88.87,45.39,WI,3
